Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.0710560625814863, 0.6666666666666666, 0.8214285714285714,  0.9601349599018443)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.05537135278514589, 0.6666666666666666, 0.8214285714285714,  0.9621224526193211)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.006634078212290503, 0.8, 0.8214285714285714,  0.9675905245305431)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06864988558352403, 0.6666666666666666, 0.8214285714285714,  0.960327356422238)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.005931612002791347, 0.8, 0.8214285714285714,  0.9686355351570549)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.11367094109976092, 0.75, 0.7380952380952381,  0.9593839646176344)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.05272895467160037, 0.8571428571428571, 0.7560975609756098,  0.9627018077669229)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.10574412532637076, 0.75, 0.7380952380952381,  0.9597325689605145)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.10281597904387688, 0.75, 0.7380952380952381,  0.958824583263092)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.09979906229068988, 0.75, 0.7619047619047619,  0.9640689243028329)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08947487040793328, 0.8571428571428571, 0.7619047619047619,  0.9606986701968058)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
